t,step,event,theta_ns,theta_s,dtheta_ns,dtheta_s,hip_x,hip_y,swing_x,swing_y,support_x,support_y
8.59999284219631,11,flow,0.296166106602565,0.005181476784587037,2.2552268468021714,-0.4520576873350271,6.929395748118918,0.3932896846835112,7.221251133610535,-0.5631727735235738,6.934577201718413,-0.6066968914956874
8.60999284219631,11,flow,0.3182943579220457,0.0005892470252317043,2.169387771711896,-0.46660630994530766,6.93398795472728,0.39330293489828927,7.24693500268671,-0.5564676401215298,6.934577201718413,-0.6066968914956874
8.619992842196309,11,flow,0.3395339737815393,-0.004154811122559195,2.077581996549324,-0.4824036688734493,6.938732000887275,0.3932944772889969,7.271779708438845,-0.5496154995882467,6.934577201718413,-0.6066968914956874
8.629992842196309,11,flow,0.35982773984414734,-0.00906260644835615,1.9802983780671497,-0.4993353515867687,6.943639684114038,0.3932620433675543,7.295752694430601,-0.5426954492387114,6.934577201718413,-0.6066968914956874
8.639992842196309,11,flow,0.3791232699263978,-0.01414494599308271,1.8780127249223173,-0.5172957357532656,6.9487216760306,0.3932030704237197,7.318827814778544,-0.5357864053299551,6.934577201718413,-0.6066968914956874
8.649992842196308,11,flow,0.39737284893978003,-0.019411631591793016,1.771182718163006,-0.5361896374832528,6.953987614245695,0.3931147086998298,7.340984849104055,-0.5289661663930132,6.934577201718413,-0.6066968914956874
8.659992842196308,11,flow,0.41453323198208025,-0.02487157054198936,1.6602442053607964,-0.5559334928802725,6.9594462081014274,0.3929938269375296,7.362208947549507,-0.522310590025635,6.934577201718413,-0.6066968914956874
8.66999284219631,11,flow,0.4305654127718724,-0.030532895899375016,1.5456087521713195,-0.5764561092614632,6.965105353750872,0.39283701584987285,7.382490030361714,-0.5158928844673022,6.934577201718413,-0.6066968914956874
8.67999284219631,11,flow,0.44543437326271423,-0.0364030923335511,1.4276622994189412,-0.5976990347397324,6.970972254445231,0.39264058910684263,7.401822164064075,-0.509783011748894,6.934577201718413,-0.6066968914956874
8.68999284219631,11,flow,0.4591088246521651,-0.0424891239995623,1.3067647560376967,-0.6196166012513342,6.977053542420971,0.39240058146704615,7.42020293330569,-0.5040471957952448,6.934577201718413,-0.6066968914956874
8.699992842196309,11,flow,0.47156094827699446,-0.048797561443373924,1.1832503548826017,-0.6421756976772687,6.98335539932555,0.3921127437392752,7.4376328243806595,-0.498747526496916,6.934577201718413,-0.6066968914956874
8.709992842196309,11,flow,0.48276614318566,-0.05533470511811803,1.0574286058195017,-0.6653553276590038,6.9898836726642655,0.39177253431139036,7.45411463337653,-0.49394164933713214,6.934577201718413,-0.6066968914956874
8.719992842196309,11,flow,0.49270278559151165,-0.06210670361302952,0.929585695089443,-0.6891460022042235,6.996643986260262,0.391375107037803,7.469652909093364,-0.4896825295106061,6.934577201718413,-0.6066968914956874
8.729992842196308,11,flow,0.5013520039915488,-0.06911966516899806,0.7999861987011203,-0.7135490112189773,7.00364184317567,0.3909152953286218,7.484253438370543,-0.48601827944442744,6.934577201718413,-0.6066968914956874
8.739992842196308,11,flow,0.5086974725150608,-0.07637976146324073,0.6688749981249636,-0.7385756114934322,7.010882719934014,0.3903875923319613,7.4979227793145276,-0.48299203907618293,6.934577201718413,-0.6066968914956874
8.74999284219631,11,flow,0.5147252240523286,-0.08389332298742166,0.5364793070647047,-0.7642461620098095,7.018372151209034,0.3897861271453049,7.510667846146992,-0.48064189902662,6.934577201718413,-0.6066968914956874
