segment_length,run_index,rank,births
180,6,1,"0.0942883759162642"
180,7,1,"0.09688036816449583"
180,8,1,"0.09688036816449583"
180,9,1,"0.09673442420420177"
180,10,1,"0.0898907323675279"
180,11,1,"0.0898239328331003"
180,12,1,"0.09175866760940048"
180,13,1,"0.09688036816449583"
180,14,1,"0.09335648429980704"
180,15,1,"0.09216313946916391"
180,16,1,"0.09158064795389939"
180,17,1,"0.09394769922427686"
180,18,1,"0.09688036816449583"
180,19,1,"0.08979054173930556"
180,20,1,"0.0926107002153568"
200,1,1,"0.09597372645308085"
200,2,1,"0.09688036816449583"
200,3,1,"0.09607849506557414"
200,4,1,"0.0942799369372352"
200,5,1,"0.09372074370258913"
200,6,1,"0.09217743486848472"
200,7,1,"0.09688036816449583"
200,8,1,"0.09585416493090426"
200,9,1,"0.09637267219975092"
200,10,1,"0.09424324991190146"
200,11,1,"0.09217188147090644"
200,12,1,"0.09382114139847991"
200,13,1,"0.09335648429980704"
200,14,1,"0.09434539911209502"
200,15,1,"0.09499299668703762"
200,16,1,"0.0965234276371486"
200,17,1,"0.09325313599144212"
200,18,1,"0.09165180833041708"
200,19,1,"0.0922079585561191"
200,20,1,"0.0916874915919021"
220,1,1,"0.09049457961402613"
220,2,1,"0.09541184088389597"
220,3,1,"0.09139416362984622"
220,4,1,"0.09017843423977458"
220,5,1,"0.09611767687996906"
220,6,1,"0.0914293939798736"
220,7,1,"0.0923979122079411"
220,8,1,"0.09372074370258913"
220,9,1,"0.09530312484208553"
220,10,1,"0.09446271845950664"
220,11,1,"0.09269725885593141"
220,12,1,"0.093591772297814"
220,13,1,"0.09507549176996434"
220,14,1,"0.0897571815135764"
220,15,1,"0.09630172585050031"
220,16,1,"0.09070145187741911"
220,17,1,"0.09212638352685483"
220,18,1,"0.09242455898888323"
220,19,1,"0.09066685284752618"
220,20,1,"0.09088417200106727"
240,1,1,"0.09266128881037979"
240,2,1,"0.09286579954798575"
240,3,1,"0.09150037080299421"
240,4,1,"0.09623055824613314"
240,5,1,"0.0910330284673072"
240,6,1,"0.09351870187971167"
240,7,1,"0.09186585948068736"
240,8,1,"0.09291539854615968"
240,9,1,"0.09265137091443242"
