index,relaxed_time,physical_time,piece,step,impact,s,event
5682,78.40149887145685,33.861498871456845,bridge,44,45,0.54,bridge
5683,78.42149887145685,33.861498871456845,bridge,44,45,0.56,bridge
5684,78.44149887145684,33.861498871456845,bridge,44,45,0.58,bridge
5685,78.46149887145684,33.861498871456845,bridge,44,45,0.6,bridge
5686,78.48149887145685,33.861498871456845,bridge,44,45,0.62,bridge
5687,78.50149887145685,33.861498871456845,bridge,44,45,0.64,bridge
5688,78.52149887145684,33.861498871456845,bridge,44,45,0.66,bridge
5689,78.54149887145685,33.861498871456845,bridge,44,45,0.68,bridge
5690,78.56149887145685,33.861498871456845,bridge,44,45,0.7000000000000001,bridge
5691,78.58149887145684,33.861498871456845,bridge,44,45,0.72,bridge
5692,78.60149887145684,33.861498871456845,bridge,44,45,0.74,bridge
5693,78.62149887145685,33.861498871456845,bridge,44,45,0.76,bridge
5694,78.64149887145685,33.861498871456845,bridge,44,45,0.78,bridge
5695,78.66149887145684,33.861498871456845,bridge,44,45,0.8,bridge
5696,78.68149887145684,33.861498871456845,bridge,44,45,0.8200000000000001,bridge
5697,78.70149887145685,33.861498871456845,bridge,44,45,0.84,bridge
5698,78.72149887145684,33.861498871456845,bridge,44,45,0.86,bridge
5699,78.74149887145684,33.861498871456845,bridge,44,45,0.88,bridge
5700,78.76149887145685,33.861498871456845,bridge,44,45,0.9,bridge
5701,78.78149887145685,33.861498871456845,bridge,44,45,0.92,bridge
5702,78.80149887145684,33.861498871456845,bridge,44,45,0.9400000000000001,bridge
5703,78.82149887145684,33.861498871456845,bridge,44,45,0.96,bridge
5704,78.84149887145685,33.861498871456845,bridge,44,45,0.98,bridge
5705,78.86149887145685,33.861498871456845,bridge,44,45,1.0,bridge_end
5706,78.86149887145685,33.861498871456845,arc,45,46,0.0,post_impact
5707,78.87149887145685,33.87149887145684,arc,45,46,0.0,flow
5708,78.88149887145684,33.88149887145685,arc,45,46,0.0,flow
5709,78.89149887145685,33.89149887145685,arc,45,46,0.0,flow
5710,78.90149887145685,33.901498871456845,arc,45,46,0.0,flow
5711,78.91149887145684,33.91149887145684,arc,45,46,0.0,flow
5712,78.92149887145685,33.92149887145685,arc,45,46,0.0,flow
5713,78.93149887145685,33.931498871456846,arc,45,46,0.0,flow
5714,78.94149887145684,33.941498871456844,arc,45,46,0.0,flow
5715,78.95149887145685,33.95149887145685,arc,45,46,0.0,flow
5716,78.96149887145685,33.96149887145685,arc,45,46,0.0,flow
5717,78.97149887145684,33.971498871456845,arc,45,46,0.0,flow
5718,78.98149887145684,33.98149887145684,arc,45,46,0.0,flow
5719,78.99149887145686,33.99149887145685,arc,45,46,0.0,flow
5720,79.00149887145685,34.001498871456846,arc,45,46,0.0,flow
5721,79.01149887145684,34.011498871456844,arc,45,46,0.0,flow
5722,79.02149887145684,34.02149887145684,arc,45,46,0.0,flow
5723,79.03149887145685,34.03149887145685,arc,45,46,0.0,flow
5724,79.04149887145684,34.041498871456845,arc,45,46,0.0,flow
5725,79.05149887145684,34.05149887145684,arc,45,46,0.0,flow
5726,79.06149887145685,34.06149887145685,arc,45,46,0.0,flow
5727,79.07149887145684,34.071498871456846,arc,45,46,0.0,flow
5728,79.08149887145684,34.081498871456844,arc,45,46,0.0,flow
5729,79.09149887145685,34.09149887145684,arc,45,46,0.0,flow
5730,79.10149887145684,34.10149887145685,arc,45,46,0.0,flow
5731,79.11149887145685,34.111498871456845,arc,45,46,0.0,flow
5732,79.12149887145685,34.12149887145684,arc,45,46,0.0,flow
5733,79.13149887145684,34.13149887145685,arc,45,46,0.0,flow
5734,79.14149887145685,34.14149887145685,arc,45,46,0.0,flow
5735,79.15149887145685,34.151498871456845,arc,45,46,0.0,flow
5736,79.16149887145684,34.16149887145684,arc,45,46,0.0,flow
5737,79.17149887145685,34.17149887145685,arc,45,46,0.0,flow
5738,79.18149887145685,34.181498871456846,arc,45,46,0.0,flow
5739,79.19149887145684,34.191498871456844,arc,45,46,0.0,flow
5740,79.20149887145685,34.20149887145685,arc,45,46,0.0,flow
5741,79.21149887145685,34.21149887145685,arc,45,46,0.0,flow
5742,79.22149887145684,34.221498871456845,arc,45,46,0.0,flow
5743,79.23149887145684,34.23149887145684,arc,45,46,0.0,flow
5744,79.24149887145686,34.24149887145685,arc,45,46,0.0,flow
5745,79.25149887145685,34.251498871456846,arc,45,46,0.0,flow
