segment_length,run_index,rank,births
175,22,1,"0.07066496547511814"
175,23,1,"0.07561886777559924"
175,24,1,"0.10877457112340314"
175,25,1,"0.10030749205367202"
175,26,1,"0.06454551139804632"
175,27,1,"0.012856737402330487"
175,28,1,"0.21814210204169335"
175,29,1,"0.0824118877570648"
175,30,1,"0.2179337947336407"
200,1,1,"0.1071378360459538"
200,2,1,"0.10841258221874987"
200,3,1,"0.03395532738995357"
200,4,1,"0.10765426349234004"
200,5,1,"0.30935648333297633"
200,6,1,"0.15406516569269701"
200,7,1,"0.24298024324156137"
200,8,1,"0.14867978326735265"
200,9,1,"0.08672810775624208"
200,10,1,"0.2711085373446978"
200,11,1,"0.06861096778519592"
200,12,1,"0.2731104051319948"
200,13,1,"0.09721778368879981"
200,14,1,"0.2662633779059227"
200,15,1,"0.020465834649873556"
200,16,1,"0.08363976451222102"
200,17,1,"0.061295163787875445"
200,18,1,"0.112774491268955"
200,19,1,"0.09954898212465559"
200,20,1,"0.11171914737015175"
200,21,1,"0.10691033678771746"
200,22,1,"0.06360721697903199"
200,23,1,"0.019073659924372804"
200,24,1,"0.0906906561684435"
200,25,1,"0.10001991398993651"
200,26,1,"0.00998238119364238"
200,27,1,"0.10024504799124492"
200,28,1,"0.1071378360459538"
200,29,1,"0.10039471950682746"
200,30,1,"0.19598931631079566"
225,1,1,"0.11203076656711726"
225,2,1,"0.09721778368879981"
225,3,1,"0.1122113287745182"
225,4,1,"0.05251364988903922"
225,5,1,"0.02711636307893081"
225,6,1,"0.0762492495426073"
225,7,1,"0.017334762299578296"
225,8,1,"0.10288146114638859"
225,9,1,"0.11350052183243886"
225,10,1,"0.0144892113210481"
225,11,1,"0.11517159060916257"
225,12,1,"0.0922504023003217"
225,13,1,"0.04571146742210198"
225,14,1,"0.10288146114638859"
225,15,1,"0.03642288385486583"
225,16,1,"0.012929355292458642"
225,17,1,"0.07369339639362543"
225,18,1,"0.06328236430796595"
225,19,1,"0.10675651794408134"
225,20,1,"0.046691282870638694"
225,21,1,"0.024085102917873937"
225,22,1,"0.11489189657341"
225,23,1,"0.11182223738890378"
225,24,1,"0.12670665647821108"
225,25,1,"0.10604198407481544"
225,26,1,"0.010837210804888347"
225,27,1,"0.08511711525211933"
225,28,1,"0.07873116865667307"
225,29,1,"0.11188105792130183"
225,30,1,"0.10288146114638859"
250,1,1,"0.07788033945743533"
250,2,1,"0.10779786872542776"
